event_id,nearest_facility_distance_m,nearest_facility_type,facilities_within_radius
1169,,,0
1170,,,0
1171,,,0
1172,,,0
1173,,,0
1174,,,0
1175,,,0
1176,,,0
1177,,,0
1178,,,0
1179,,,0
1180,,,0
1181,,,0
1182,,,0
1183,,,0
1184,,,0
1185,,,0
1186,,,0
1187,,,0
1188,,,0
1189,,,0
1190,1601.40105613,industrial_area,2
1191,,,0
1192,,,0
1193,4195.92670212,power_plant,1
1194,,,0
1195,1291.92033415,power_plant,6
1196,,,0
1197,304.17702789,industrial_works,6
1198,714.08635697,industrial_area,2
1199,,,0
1200,,,0
1201,,,0
1202,,,0
1203,,,0
1204,,,0
1205,,,0
1206,,,0
1207,,,0
1208,3026.54528858,industrial_area,4
1209,3280.31966442,power_plant,6
1210,3228.44877663,power_plant,6
1211,,,0
1212,,,0
1213,,,0
1214,,,0
1215,,,0
1216,,,0
1217,,,0
1218,,,0
1219,,,0
1220,,,0
1221,,,0
1222,,,0
1223,405.67779077,power_plant,6
1224,2173.19084644,industrial_area,25
1225,1978.82277995,industrial_area,27
1226,620.98166435,power_plant,4
1227,664.273854,power_plant,4
1228,214.19137357,industrial_area,2
1229,460.71123343,industrial_area,10
1230,442.26128973,industrial_area,1
1231,,,0
1232,4321.37578182,industrial_works,1
1233,181.42168126,industrial_area,3
1234,674.2850224,power_plant,2
1235,231.64116638,industrial_area,6
1236,1142.82822162,power_plant,6
1237,839.93876647,power_plant,5
1238,534.5957347,industrial_works,6
1239,165.97264341,industrial_area,2
1240,,,0
1241,,,0
1242,,,0
1243,,,0
1244,,,0
1245,,,0
1246,,,0
1247,,,0
1248,,,0
1249,,,0
1250,,,0
1251,,,0
1252,,,0
1253,,,0
1254,3432.81327139,industrial_area,3
1255,,,0
1256,,,0
1257,,,0
1258,,,0
1259,,,0
1260,1058.75061854,industrial_area,1
1261,,,0
1262,277.56221419,industrial_area,6
1263,,,0
1264,,,0
1265,,,0
1266,,,0
1267,,,0
1268,,,0
1269,259.03008329,industrial_area,18
1270,127.51784484,industrial_area,18
1271,121.26687339,industrial_area,19
1272,,,0
1273,,,0
1274,,,0
1275,3107.39712983,power_plant,2
1276,2884.47459348,power_plant,2
1277,,,0
1278,,,0
1279,,,0
1280,,,0
1281,,,0
1282,,,0
